timestamp,symbol,signal,side,executed_price,executed_size,stop_loss,take_profit,order_id,pnl_usdt
2025-10-22T19:09:03.505114+00:00,BTC/USDT,buy,buy,0.0,0.000459,0.0,0.0,2067155540525716992,
2025-10-22T19:23:03.698461+00:00,BTC/USDT,sell,sell,0.0,0.00046,0.0,0.0,2067162589078754816,
2025-10-22T19:23:04.284454+00:00,BTC/USDT,sell,sell,0.0,0.00046,0.0,0.0,2067162594229360128,
2025-10-22T19:23:04.466054+00:00,BTC/USDT,sell,sell,0.0,0.00046,0.0,0.0,2067162595739309568,
2025-10-22T19:23:05.160029+00:00,BTC/USDT,sell,sell,0.0,0.00046,0.0,0.0,2067162601552614912,
2025-10-22T19:28:02.562917+00:00,BTC/USDT,buy,buy,0.0,0.000459,0.0,0.0,2067165096358188544,
2025-10-22T19:28:03.026117+00:00,BTC/USDT,buy,buy,0.0,0.000459,0.0,0.0,2067165100250502656,
2025-10-22T19:28:04.004738+00:00,BTC/USDT,buy,buy,108790.6,0.000459,106614.788,112054.31800000001,2067165106651010560,
2025-10-22T19:43:02.626221+00:00,BTC/USDT,close_long,sell,0.0,0.000459,106614.788,112054.31800000001,2067172646717756928,49.9348854
2025-10-22T19:43:02.819432+00:00,BTC/USDT,close_long,sell,0.0,0.000459,0.0,0.0,2067172648345146880,-0.0
2025-10-22T19:43:02.963901+00:00,BTC/USDT,close_long,sell,0.0,0.000459,0.0,0.0,2067172649511163392,-0.0
2025-10-22T19:43:03.035930+00:00,BTC/USDT,sell,sell,0.0,0.000459,0.0,0.0,2067172650157086208,
2025-10-22T19:43:03.057534+00:00,BTC/USDT,sell,sell,108523.0,0.000459,110693.46,105267.31,2067172648529696256,
2025-10-22T19:43:03.183804+00:00,BTC/USDT,sell,sell,0.0,0.000459,0.0,0.0,2067172651390211584,
2025-10-22T19:43:04.336926+00:00,BTC/USDT,sell,sell,108307.0,0.000459,110473.14,105057.79,2067172659258725888,
2025-10-22T19:43:04.430255+00:00,BTC/USDT,sell,sell,108307.0,0.000459,110473.14,105057.79,2067172660038866432,
2025-10-22T19:43:25.560955+00:00,BTC/USDT,sell,sell,108307.0,0.000461,110473.14,105057.79,2067172837290153472,
2025-10-22T19:43:55.895086+00:00,BTC/USDT,sell,sell,108307.0,0.000461,110473.14,105057.79,2067173091699856896,
2025-10-22T19:52:03.520616+00:00,BTC/USDT,buy,buy,108632.0,0.00046,106459.36,111890.96,2067177182236775936,
2025-10-22T20:01:05.404800+00:00,BTC/USDT,sell,sell,108307.0,0.000461,110473.14,105057.79,2067181722243700224,
2025-10-22T20:08:04.593031+00:00,BTC/USDT,buy,buy,108790.6,0.000919,106614.788,112054.31800000001,2067185244100105728,
